endpoint,summary,description letter count,current description,new description,new description size,questions,,,
POST /v1/destinations/{destinationId}/certificates,Approve a Certificate for the Destination,452,"Approves a certificate, so Fivetran trusts this certificate for a destination database connection. 
The destination connection setup tests will fail if a non-approved certificate is provided.

> NOTE: This is only required for destination connections based on the following databases: 
>  - [MySQL](https://fivetran.com/docs/destinations/mysql#supportedimplementations)
>  - [PostgreSQL](https://fivetran.com/docs/destinations/postgresql#supportedimplementations)
>  - [SQLServer](https://fivetran.com/docs/destinations/sql-server#supportedimplementations)",,,,,,
POST /v1/connections/{connectionId}/certificates,Approve a Certificate for the Connection,431,"Approves a certificate, so Fivetran trusts this certificate for a source database connection. 
The connection setup tests will fail if a non-approved certificate is provided.

> NOTE: This is only required for source connections based on the following databases: 
>  - [MySQL](https://fivetran.com/docs/connectors/databases/mysql#supportedservices)
>  - [PostgreSQL](https://fivetran.com/docs/connectors/databases/postgresql#supportedservices)
>  - [SQLServer](https://fivetran.com/docs/connectors/databases/sql-server#supportedservices)",,,,,,
GET /v1/metadata/connector-types,Retrieve Source Metadata,376,"Returns all available source types within your Fivetran account. This endpoint makes it easier to display Fivetran connectors within your application because it provides metadata including the proper source name ('Facebook Ads' instead of 'facebook_ads'), the source icon, information about the Hybrid deployment support, and links to Fivetran resources. As we update source names and icons, that metadata will automatically update within this endpoint",,,,,,
POST /v1/connections/{connectionId}/sync,Sync Connection Data,375,"Triggers a data sync for an existing connection within your Fivetran account without waiting for the next scheduled sync. This action does not override the standard sync frequency you defined in the Fivetran dashboard.

When `schedule_type` is set to `manual`, this endpoint is the only way syncs occur — including syncs in a `rescheduled` state. For a full walkthrough, see [Trigger Manual Syncs](https://fivetran.com/docs/rest-api/tutorials/trigger-syncs-manually).",Triggers a data sync for an existing connection within your Fivetran account without waiting for the next scheduled sync. This action does not override the standard sync frequency you defined in the Fivetran dashboard.,,,,,
POST /v1/connections/{connectionId}/schemas,Set Up a New Connection Schema Config,343,"Configures a Connection Schema for a new connection before the schema is captured from the source.

> NOTE: The response returns the exact settings provided in the request.

After the initial sync, when the connection captures the schema from the source, Fivetran attempts to apply the specified settings to the actual schema.
If certain tables or columns cannot be excluded, the settings for those entities are ignored.",,,,,,
GET /public/connector-types,Retrieve Source Metadata Public Endpoint,339,"Returns all available source types. This endpoint provides metadata including the proper source name (‘Facebook Ads’ instead of facebook_ads), the source icon, feature tables, information about the Hybrid deployment support, information about the Authorization via API support, and links to Fivetran resources. As we update source names and icons, that metadata will automatically update within this endpoint.",,,,,,
POST /v1/groups,Create a Group,325,"Creates a new group in your Fivetran account. 

> IMPORTANT: Groups and destinations are mapped 1:1 to each other. We do this mapping using the group's `id` value that we automatically generate when you create a group, and the destination's `group_id` value that you specify when you create a destination. This means that you must create a group in your Fivetran account before you can create a destination in it.",,,,,,
GET /v1/destinations/{destinationId},Retrieve Destination Details,300,"Returns a destination object if a valid identifier was provided.

To find a destination's unique identifier, call the [List All Groups](https://fivetran.com/docs/rest-api/groups#listallgroups) endpoint and search the response `items` for your target destination by its `name` field. The group's `id` value is also the destination's `id`, since groups and destinations are mapped 1:1.",,,,,,
POST /v1/connections/{connectionId}/resync,Re-sync Connection Data (Historical Sync),296,"Triggers a full historical sync of a connection or multiple schema tables within a connection. If the connection is paused, the table sync will be scheduled to be performed when the connection is re-enabled. If there is a data sync already in progress, we will try to complete it. If it fails, the request will be declined and the HTTP 409 Conflict error will be returned.",,,,,,
POST /v1/private-links,Create a Private Link,283,"Creates a new private link in your Fivetran account. 

> NOTE: See the [Set Up a Connection With Private Links tutorial](/docs/rest-api/tutorials/set-up-connection-with-private-links) to learn how to use this endpoint to set up a [database connection](/docs/connectors/databases) with [private networking](/docs/using-fivetran/features#privatenetworking).",,,,,,
POST /v1/connections/{connectionId}/test,Run Connection Setup Tests,269,Runs the setup tests for an existing connection within your Fivetran account. Use this parameter to test the connection without making any configuration changes. You can optionally include `trust_certificates` or `trust_fingerprints` parameters to automatically approve certificates or fingerprints during the test run.,,,,,,
PATCH /v1/connections/{connectionId}/schemas/{schemaName}/tables/{tableName},Update a Connection Table Config,250,"Updates the table config within your database schema for an existing connection within your Fivetran account.

For the NetSuite SuiteAnalytics and Salesforce and Salesforce Sandbox connectors, the 'schemas' map field will always have a single entry with the 'netsuite' or 'salesforce' key, respectively.",,,,,,
DELETE /v1/connections/{connectionId}/schemas/{schemaName}/tables/{tableName}/columns/{columnName},Drop a Blocked Column From the Destination,250,"Marks a blocked column for deletion from your destination table. The column will be dropped during the next sync.

For the NetSuite SuiteAnalytics and Salesforce and Salesforce Sandbox connectors, the 'schemas' map field will always have a single entry with the 'netsuite' or 'salesforce' key, respectively.",,,,,,
GET /v1/connections/{connectionId}/state,Retrieve Connection State,210,"Returns the connection state. This endpoint is only supported for Function and Connection SDK connectors. To update the connection state, use [Update Connection State](https://fivetran.com/docs/rest-api/api-reference/connections/modify-connection-state).",,,,,,
GET /v1/connections/{connectionId}/schemas/{schema}/tables/{table}/columns,Retrieve Source Table Columns Config,206,"Returns the real-time column list for one source table by querying the source. The response includes the current enabled and hashed flags, and the patchable fields. 

> NOTE: This endpoint works only for an existing connection that is in a 'Connected' state.",,,,,,
POST /v1/certificates,(Deprecated) Approve a Certificate,182,"Approves a certificate for a connection/destination, so Fivetran trusts this certificate for a source/destination database. The connection/destination setup tests will fail if a non-approved certificate is provided.",,,,,,
DELETE /v1/connector-sdk/packages/{package_id},Delete Connector SDK Package,178,"Permanently deletes a Connector SDK package from your Fivetran account.

> **Warning:** Packages that are associated with a connection cannot be deleted. You must first delete the connection before deleting the package.",,,,,,
POST /v1/users,Invite a User,156,Invites a new user to your Fivetran account. The invited user will have access to the account only after accepting the invitation. Invited user details are still accessible through the API.,,,,,,
PATCH /v1/connector-sdk/packages/{package_id},Update Connector SDK Package,155,"Updates an existing Connector SDK package by uploading a new version of the connector code.

All connections using this package will automatically use the updated code on their next sync.",,,,,,
POST /v1/connections/{connectionId}/schemas/tables/resync,Re-sync Connection Table Data,153,Triggers a historical sync of all data for multiple schema tables within a connection. This action does not override the standard sync frequency you defined in the Fivetran dashboard.,,,,,,
DELETE /v1/external-secrets-managers/{esmId},Delete an External Secrets Manager,123,Deletes an External Secrets Manager instance from your Fivetran account. The instance must not be in use by any source connections or destinations.,,,,,,
POST /v1/webhooks/{webhookId}/test,Test a Webhook,121,The endpoint allows you to test an existing webhook. It sends a webhook with a given identifier for a dummy connection with identifier _connection_1,,,,,,
GET /v1/connector-sdk/packages/{package_id}/download,Download Connector SDK Package,121,"Downloads the connector code package file (code.zip) for a specific Connector SDK package.

This endpoint returns the raw ZIP file as an octet-stream.",,,,,,
GET /v1/external-secrets-managers-entities,List All Entities Using External Secrets Managers,111,Returns a list of all source connections and destinations that are using any External Secrets Manager within your Fivetran account.,,,,,,
GET /v1/hybrid-deployment-agents,List Hybrid Deployment Agents,109,"Returns list of all Hybrid Deployment Agents within your Fivetran account, along with usage. Optionally filtered to a single group.",,,,,,
POST /v1/destinations/{destinationId}/fingerprints,Approve a Fingerprint for the Destination,105,"Approves a fingerprint, enabling Fivetran to trust it for a destination database and establish connections via an SSH tunnel.",,,,,,
DELETE /v1/destinations/{destinationId}/fingerprints/{hash},Revoke Destination Fingerprint,102,"Revokes a fingerprint, so Fivetran no longer trusts it while connecting to the destination database through an SSH tunnel.",,,,,,
POST /v1/connections/{connectionId}/schemas/drop-columns,Drop Blocked Columns from the Destination.,102,Mark multiple blocked columns for deletion from your destination tables. The columns will be dropped during the next sync.,,,,,,
DELETE /v1/users/{id},Delete a User,101,Deletes a user from your Fivetran account. You will be unable to delete an account owner user if there is only one remaining.,,,,,,
PATCH /v1/external-logging/{logId},Update a Group Log Service,100,Updates information for an existing group-level [logging service](/docs/logs/external-logs) within your Fivetran account.,,,,,,
POST /v1/connections/{connectionId}/fingerprints,Approve a Fingerprint for the Connection,100,"Approves a fingerprint, enabling Fivetran to trust it for a source database and establish connections via an SSH tunnel.",,,,,,
POST /v1/external-logging/{logId}/test,Run Group Log Service Setup Tests,99,Runs the setup tests for an existing group-level [logging service](/docs/logs/external-logs) within your Fivetran account.,,,,,,
DELETE /v1/connections/{connectionId}/fingerprints/{hash},Revoke Connection Fingerprint,97,"Revokes a fingerprint, so Fivetran no longer trusts it while connecting to the source database through an SSH tunnel.",,,,,,
POST /v1/external-logging,Create a Group Log Service,97,Creates a new group-level [logging service](/docs/logs/external-logs) within a specified group in your Fivetran account.,,,,,,
GET /v1/metadata/connector-types/{service},Retrieve Connector Configuration Metadata,92,Returns metadata of configuration parameters and authorization parameters for a specified connector type.,,,,,,
GET /v1/destinations/{destinationId}/certificates/{hash},Retrieve Destination Certificate Details,92,Returns details of the certificate approved for the specified destination with specified certificate hash.,,,,,,
GET /v1/connections/{connectionId}/certificates/{hash},Retrieve Connection Certificate Details,91,Returns details of the certificate approved for the specified connection with specified certificate hash.,,,,,,
GET /v1/transformations/package-metadata/{package_definition_id},Retrieve a Quickstart Package Metadata Details,89,Returns the metadata details of the Quickstart transformation package if a valid identifier is provided.,,,,,,
GET /v1/external-secrets-managers/{esmId}/entities,List Entities Using an External Secrets Manager,89,Returns a list of source connections and destinations that are using a specific External Secrets Manager.,,,,,,
GET /v1/external-logging,List All Log Services within Account,87,Returns a list of all accessible [logging services](/docs/logs/external-logs) within your Fivetran account.,,,,,,
GET /v1/external-logging/{logId},Retrieve Group Log Service Details,87,Returns a group-level [logging service](/docs/logs/external-logs) object if a valid identifier was provided.,,,,,,
POST /v1/transformations/{transformationId}/upgrade,Upgrade Transformation Package,85,Upgrades the Quickstart transformation package to latest version if a valid identifier is provided.,,,,,,
POST /v1/system-keys/{keyId}/rotate,Rotate a System Key,84,Updates the secret value and expired_at date for an existing system key within your Fivetran account.,,,,,,
GET /v1/webhooks,List all Webhooks,84,The endpoint allows you to retrieve the list of existing webhooks available for the current account,,,,,,
DELETE /v1/destinations/{destinationId}/certificates/{hash},Revoke Destination Certificate,84,"Revokes a certificate, so Fivetran no longer trusts it while connecting to the destination database.",,,,,,
DELETE /v1/connections/{connectionId}/certificates/{hash},Revoke Connection Certificate,79,"Revokes a certificate, so Fivetran no longer trusts it while connecting to the source database.",,,,,,
GET /v1/transformation-projects,List all Transformation Projects,79,Returns a list of all transformation projects available via API within your Fivetran account.,,,,,,
GET /v1/proxy/{agentId}/connections,List All Connections Attached to the Proxy Agent,78,Returns all connections attached to the specified proxy agent within your Fivetran account.,,,,,,
GET /v1/webhooks/{webhookId},Retrieve Webhook Details,77,This endpoint allows you to retrieve details of the existing webhook for a given identifier,,,,,,
GET /v1/groups/{groupId}/connections,List All Connections within a Group,77,Returns a list of information about all connections within a group in your Fivetran account.,,,,,,
